Organizations,Organization Type,College/Unit/Center_Inst.,College/Unit/Center_Inst. Type,Departments,Division,Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Peer Coaching,Multi Center Imp,MAHA,CPP Feas.,CPP Comp,WH Levy Cancer,CPP Medicaid,Inp Onc Acu,Clim NNE,Clim Rur,VT Poll,PH Careg,CPP Iso,CPP SGB,PH Res,Walk w/ease,ECC All,Ticks,WPHI First yr,Img Tissue,WPHI UVMH,DNP Forest,Psychadelic,OUD Osher ,CLEAR Osher,Int Osher,Readiness Osher,Farm Shares,Comm Health Wrk,MultiStakeholer Ana.
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Childrens Hospital (clinical) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,OBGYN (clinical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVMH,Healthcare Organization,Medical Group ,Physicain Group,Cancer Center (clinical),,,,,,,x,,x,,,,,,,,,,,,,x,,,,,,,x,,
Dartmouth ,University ,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Dartmouth ,University ,NNE Coop,Practice Based Research Network ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Health ,Healthcare Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT DOH,Government Agency,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Osher Collaborative,Professional Association,Wisconsin,Center; Institute,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osher Collaborative,Professional Association,Harvard,Center; Institute,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIMH,Professional Association,WHITS,Professional Association ,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
WPH Coalition ,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLM,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIO,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inst. for Behavior Change,Professional Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHVA,Government Agency,Medicaid,Government Agency,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
BCBSVT,Health Insurance Organization ,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
PCORI,Funding Agency ,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
NCCIH,Government Agency,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Government Agency,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCUHS,University ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
